Archive No,D (m),l,m (kg),v (m/s),E (kPa),cu (kPa),E/cu,G/cu,Total penetration/ D,Time of travel (s) ,Initial Kinetic Energy = mv2/2 (kgm2/s2),(cupD3/4) (kgm2/s2),(mv2/2)/ (cupD3/4)
1,0.04,0,0.1,5,100,1,100,33.33333333,4.0678,0.06678,1.25,0.050265482,24.86795986
3,0.04,0,0.2,5,100,1,100,33.33333333,7.9759,0.13092,2.5,0.050265482,49.73591972
13,0.04,0,0.1,10,500,5,100,33.33333333,3.2486,0.02578,5,0.251327412,19.89436789
16,0.04,0,0.2,10,500,5,100,33.33333333,5.7715,0.04606,10,0.251327412,39.78873577
19,0.04,0,0.5,5,500,5,100,33.33333333,4.2121,0.06164,6.25,0.251327412,24.86795986
20,0.04,0,0.5,10,500,5,100,33.33333333,13.8182,0.11074,25,0.251327412,99.47183943
22,0.08,0,0.5,15,500,5,100,33.33333333,3.8044,0.04572,56.25,2.010619298,27.97645484
24,0.04,0,0.1,15,1000,10,100,33.33333333,3.5262,0.01904,11.25,0.502654825,22.38116387
26,0.04,0,0.2,10,1000,10,100,33.33333333,3.3069,0.02484,10,0.502654825,19.89436789
27,0.04,0,0.2,15,1000,10,100,33.33333333,6.221,0.0334,22.5,0.502654825,44.76232774
29,0.04,0,0.5,10,1000,10,100,33.33333333,7.2595,0.05512,25,0.502654825,49.73591972
30,0.04,0,0.5,15,1000,10,100,33.33333333,14.5673,0.0777,56.25,0.502654825,111.9058194
32,0.08,0,0.5,20,1000,10,100,33.33333333,3.5413,0.03102,100,4.021238597,24.86795986
33,0.04,0,0.2,15,2500,25,100,33.33333333,3.0245,0.01508,22.5,1.256637061,17.9049311
36,0.04,0,0.5,15,2500,25,100,33.33333333,6.4782,0.03274,56.25,1.256637061,44.76232774
38,0.04,0,0.1,5,200,1,200,66.66666667,3.6874,0.05918,1.25,0.050265482,24.86795986
40,0.04,0,0.2,5,200,1,200,66.66666667,7.0081,0.11218,2.5,0.050265482,49.73591972
50,0.04,0,0.1,10,1000,5,200,66.66666667,2.9769,0.02314,5,0.251327412,19.89436789
53,0.04,0,0.2,10,1000,5,200,66.66666667,5.2004,0.04046,10,0.251327412,39.78873577
56,0.04,0,0.5,5,1000,5,200,66.66666667,3.8153,0.05534,6.25,0.251327412,24.86795986
57,0.04,0,0.5,10,1000,5,200,66.66666667,12.0607,0.09504,25,0.251327412,99.47183943
61,0.04,0,0.1,15,2000,10,200,66.66666667,3.2248,0.01688,11.25,0.502654825,22.38116387
62,0.04,0,0.1,20,2000,10,200,66.66666667,4.6208,0.01986,20,0.502654825,39.78873577
63,0.04,0,0.2,10,2000,10,200,66.66666667,3.0129,0.0225,10,0.502654825,19.89436789
64,0.04,0,0.2,15,2000,10,200,66.66666667,5.5938,0.02948,22.5,0.502654825,44.76232774
65,0.04,0,0.2,20,2000,10,200,66.66666667,8.3536,0.03546,40,0.502654825,79.57747155
66,0.04,0,0.5,10,2000,10,200,66.66666667,6.443,0.04826,25,0.502654825,49.73591972
67,0.04,0,0.5,15,2000,10,200,66.66666667,12.7455,0.06736,56.25,0.502654825,111.9058194
70,0.04,0,0.2,15,5000,25,200,66.66666667,2.7864,0.01364,22.5,1.256637061,17.9049311
71,0.04,0,0.2,20,5000,25,200,66.66666667,4.3417,0.01644,40,1.256637061,31.83098862
72,0.04,0,0.5,10,5000,25,200,66.66666667,3.0183,0.02182,25,1.256637061,19.89436789
73,0.04,0,0.5,15,5000,25,200,66.66666667,5.7926,0.02884,56.25,1.256637061,44.76232774
74,0.04,0,0.5,20,5000,25,200,66.66666667,9.4453,0.0365,100,1.256637061,79.57747155
75,0.04,0,0.1,5,500,1,500,166.6666667,3.4095,0.05448,1.25,0.050265482,24.86795986
77,0.04,0,0.2,5,500,1,500,166.6666667,6.2649,0.09862,2.5,0.050265482,49.73591972
79,0.04,0,0.5,5,500,1,500,166.6666667,17.9248,0.26464,6.25,0.050265482,124.3397993
88,0.04,0,0.1,15,2500,5,500,166.6666667,4.7026,0.0269,11.25,0.251327412,44.76232774
90,0.04,0,0.2,10,2500,5,500,166.6666667,4.7643,0.0367,10,0.251327412,39.78873577
93,0.04,0,0.5,5,2500,5,500,166.6666667,3.525,0.05144,6.25,0.251327412,24.86795986
95,0.08,0,0.2,20,2500,5,500,166.6666667,2.584,0.02666,40,2.010619298,19.89436789
101,0.04,0,0.2,15,5000,10,500,166.6666667,5.1139,0.02662,22.5,0.502654825,44.76232774
103,0.04,0,0.5,10,5000,10,500,166.6666667,5.8437,0.04454,25,0.502654825,49.73591972
104,0.04,0,0.5,15,5000,10,500,166.6666667,11.3757,0.05942,56.25,0.502654825,111.9058194
106,0.08,0,0.5,20,5000,10,500,166.6666667,3.0927,0.02646,100,4.021238597,24.86795986
107,0.04,0,0.2,15,12500,25,500,166.6666667,2.5269,0.01256,22.5,1.256637061,17.9049311
108,0.04,0,0.2,20,12500,25,500,166.6666667,3.9226,0.01502,40,1.256637061,31.83098862
109,0.04,0,0.5,10,12500,25,500,166.6666667,2.7966,0.02016,25,1.256637061,19.89436789
