id,d,lambda,m,v,e,cu,e/cu,g/cu,tp/d,tt,ike,cup,ke/cup,tp,v2,AB
114,0.04,0.1,0.2,5,100,1,100,33.33333333,4.0133,0.0625,2.5,0.050265482,49.73591972,0.160532,25.0,0.1884955592153876
226,0.04,0.2,0.2,10,100,1,100,33.33333333,9.2308,0.08184,10.0,0.050265482,198.9436789,0.369232,100.0,0.1884955592153876
116,0.04,0.1,0.5,5,100,1,100,33.33333333,11.0397,0.17185999999999998,6.25,0.050265482,124.3397993,0.441588,25.0,0.1884955592153876
3,0.04,0.0,0.2,5,100,1,100,33.33333333,7.9759,0.13092,2.5,0.050265482,49.73591972,0.31903600000000004,25.0,0.1884955592153876
113,0.04,0.1,0.1,10,100,1,100,33.33333333,5.9042,0.05652000000000001,5.0,0.050265482,99.47183943,0.23616800000000002,100.0,0.1884955592153876
114,0.04,0.1,0.2,5,100,1,100,33.33333333,4.0133,0.0625,2.5,0.050265482,49.73591972,0.160532,25.0,0.1884955592153876
112,0.04,0.1,0.1,5,100,1,100,33.33333333,2.166,0.03308,1.25,0.050265482,24.86795986,0.08664,25.0,0.1884955592153876
3,0.04,0.0,0.2,5,100,1,100,33.33333333,7.9759,0.13092,2.5,0.050265482,49.73591972,0.31903600000000004,25.0,0.1884955592153876
119,0.08,0.1,0.2,10,100,1,100,33.33333333,2.0242,0.03902,10.0,0.40212386,24.86795986,0.161936,100.0,0.3769911184307752
112,0.04,0.1,0.1,5,100,1,100,33.33333333,2.166,0.03308,1.25,0.050265482,24.86795986,0.08664,25.0,0.1884955592153876
3,0.04,0.0,0.2,5,100,1,100,33.33333333,7.9759,0.13092,2.5,0.050265482,49.73591972,0.31903600000000004,25.0,0.1884955592153876
193,0.08,0.1,0.2,10,500,1,500,166.66666669999998,1.6805,0.02998,10.0,0.40212386,24.86795986,0.13444,100.0,1.1309733552923256
13,0.04,0.0,0.1,10,500,5,100,33.33333333,3.2486,0.02578,5.0,0.251327412,19.89436789,0.129944,100.0,0.9424777960769379
188,0.04,0.1,0.2,5,500,1,500,166.66666669999998,2.9625,0.04384,2.5,0.050265482,49.73591972,0.1185,25.0,0.5654866776461628
127,0.04,0.1,0.2,10,500,5,100,33.33333333,3.0826,0.02336,10.0,0.251327412,39.78873577,0.123304,100.0,0.9424777960769379
235,0.04,0.2,0.1,10,500,5,100,33.33333333,1.406,0.00922,5.0,0.251327412,19.89436789,0.05624,100.0,0.9424777960769379
16,0.04,0.0,0.2,10,500,5,100,33.33333333,5.7715,0.046060000000000004,10.0,0.251327412,39.78873577,0.23085999999999998,100.0,0.9424777960769379
186,0.04,0.1,0.1,5,500,1,500,166.66666669999998,1.7258,0.02444,1.25,0.050265482,24.86795986,0.069032,25.0,0.5654866776461628
299,0.04,0.2,0.2,5,500,1,500,166.66666669999998,2.0961,0.02992,2.5,0.050265482,49.73591972,0.083844,25.0,0.5654866776461628
238,0.04,0.2,0.2,10,500,5,100,33.33333333,2.3147,0.01734,10.0,0.251327412,39.78873577,0.092588,100.0,0.9424777960769379
190,0.04,0.1,0.5,5,500,1,500,166.66666669999998,6.9102,0.10424000000000001,6.25,0.050265482,124.3397993,0.276408,25.0,0.5654866776461628
187,0.04,0.1,0.1,10,500,1,500,166.66666669999998,4.5462,0.0388,5.0,0.050265482,99.47183943,0.18184799999999998,100.0,0.5654866776461628
32,0.08,0.0,0.5,20,1000,10,100,33.33333333,3.5413,0.03102,100.0,4.021238597,24.86795986,0.283304,400.0,3.7699111843077517
278,0.04,0.2,0.5,5,1000,5,200,66.66666667,1.4995,0.0194,6.25,0.251327412,24.86795986,0.059980000000000006,25.0,1.413716694115407
248,0.04,0.2,0.2,10,1000,10,100,33.33333333,1.4183,0.009040000000000001,10.0,0.502654825,19.89436789,0.056732,100.0,1.8849555921538759
138,0.04,0.1,0.2,15,1000,10,100,33.33333333,3.3827,0.01738,22.5,0.502654825,44.76232774,0.13530799999999998,225.0,1.8849555921538759
273,0.04,0.2,0.1,15,1000,5,200,66.66666667,2.1579,0.01098,11.25,0.251327412,44.76232774,0.086316,225.0,1.413716694115407
253,0.04,0.2,0.5,20,1000,10,100,33.33333333,10.0643,0.03974,100.0,0.502654825,198.9436789,0.402572,400.0,1.8849555921538759
142,0.04,0.1,0.5,20,1000,10,100,33.33333333,13.0562,0.052579999999999995,100.0,0.502654825,198.9436789,0.522248,400.0,1.8849555921538759
29,0.04,0.0,0.5,10,1000,10,100,33.33333333,7.2595,0.05512,25.0,0.502654825,49.73591972,0.29038,100.0,1.8849555921538759
168,0.04,0.1,0.5,10,1000,5,200,66.66666667,5.8252,0.04428,25.0,0.251327412,99.47183943,0.233008,100.0,1.413716694115407
281,0.08,0.2,0.5,15,1000,5,200,66.66666667,1.5444,0.014719999999999999,56.25,2.010619298,27.97645484,0.12355200000000001,225.0,2.827433388230814
253,0.04,0.2,0.5,20,1000,10,100,33.33333333,10.0643,0.03974,100.0,0.502654825,198.9436789,0.402572,400.0,1.8849555921538759
208,0.08,0.1,0.5,20,2500,5,500,166.66666669999998,2.7122,0.02244,100.0,2.010619298,49.73591972,0.21697600000000003,400.0,5.654866776461628
310,0.04,0.2,0.1,15,2500,5,500,166.66666669999998,1.8684,0.00914,11.25,0.251327412,44.76232774,0.07473600000000001,225.0,2.827433388230814
146,0.04,0.1,0.5,10,2500,25,100,33.33333333,1.8097,0.01228,25.0,1.256637061,19.89436789,0.07238800000000001,100.0,4.71238898038469
258,0.04,0.2,0.5,15,2500,25,100,33.33333333,2.5625,0.0124,56.25,1.256637061,44.76232774,0.10250000000000001,225.0,4.71238898038469
93,0.04,0.0,0.5,5,2500,5,500,166.66666669999998,3.525,0.05144,6.25,0.251327412,24.86795986,0.141,25.0,2.827433388230814
310,0.04,0.2,0.1,15,2500,5,500,166.66666669999998,1.8684,0.00914,11.25,0.251327412,44.76232774,0.07473600000000001,225.0,2.827433388230814
36,0.04,0.0,0.5,15,2500,25,100,33.33333333,6.4782,0.03274,56.25,1.256637061,44.76232774,0.259128,225.0,4.71238898038469
313,0.04,0.2,0.2,15,2500,5,500,166.66666669999998,3.1953,0.016,22.5,0.251327412,89.52465549,0.127812,225.0,2.827433388230814
